N,variant,iters,rel_err,min_eig,nInc
44,bs6,1601,0.19151741361809352,1.1243059093902843,0
44,bs4old,856,0.14239901687256598,0.41636601204140833,388
45,poly4,942,0.17912202640483596,1.1662292582675915,214
45,poly6,1764,0.11992239780909769,0.000000000020829822303652663,172
45,bs4,860,0.1828794945836236,1.1734973398349093,0
45,bs6,1857,0.11340772373537641,0.0000000000029591600805046383,0
45,bs4old,910,0.17373698574155985,1.094846559980528,285
46,poly4,911,0.17978245416487465,1.0136402602724264,351
46,poly6,1626,0.16702118445213746,0.7320180450214665,340
46,bs4,836,0.23144846640000943,1.2787941051007186,0
46,bs6,1662,0.18418815962828533,0.9240833572805651,0
46,bs4old,868,0.16649079349355356,0.8166361562329871,366
47,poly4,886,0.17738658815944816,1.0581234015397014,346
47,poly6,1630,0.16352309375623228,0.8156545884061938,335
47,bs4,862,0.21940653730880175,1.2716181464386642,0
47,bs6,1634,0.17567045885719004,0.9433376337233903,0
47,bs4old,846,0.16637369725284068,0.9079135756720953,360
48,poly4,896,0.1748852806340328,0.98819606094876,353
48,poly6,1618,0.17290210858226662,0.9979880765949384,366
48,bs4,837,0.21994277584019223,1.2943540441246064,0
48,bs6,1639,0.1888392482392959,1.0781157897009148,0
48,bs4old,865,0.16233522888732338,0.8290355893711692,365
49,poly4,923,0.2089071004899897,1.157754090115444,350
49,poly6,1653,0.1805553207946602,0.6742624424143215,371
49,bs4,851,0.26322388737912805,1.4188139698237685,0
49,bs6,1672,0.21485070757133204,0.9921563076562243,0
49,bs4old,890,0.19502919829931645,0.9614774486803241,364
50,poly4,931,0.20464409408697443,1.132896518534593,339
50,poly6,1672,0.1736872099348613,0.43400596322304785,341
50,bs4,859,0.2626369066874656,1.3962766227300532,0
50,bs6,1713,0.2050237248160245,0.8564636537468399,0
50,bs4old,904,0.18803906892972352,0.8852978734020432,358
50,ccp_poly4,19,34.58135919821977,31.1399714843686,0.49460477816415455
50,ccp_bs4,16,36.490786091561255,31.93583651086567,0.6122679818432827
